Label,Site,Species,Geno,Temp,Replicate,Bleaching_score_GP,Bleaching_score_AC,Bleaching_score_CB,Median
KA5-39B,AlFahal,Acropora,5,39,B,0,0,0,0
KA6-39B,AlFahal,Acropora,6,39,B,20,40,20,20
KA7-39B,AlFahal,Acropora,7,39,B,0,20,20,20
WA1-30A,AlWajh,Acropora,1,30,A,100,100,100,100
WA2-30A,AlWajh,Acropora,2,30,A,100,100,100,100
WA3-30A,AlWajh,Acropora,3,30,A,80,100,100,100
WA4-30A,AlWajh,Acropora,4,30,A,100,100,100,100
WA5-30A,AlWajh,Acropora,5,30,A,80,100,100,100
WA6-30A,AlWajh,Acropora,6,30,A,80,100,100,100
WA7-30A,AlWajh,Acropora,7,30,A,100,100,100,100
WA1-30B,AlWajh,Acropora,1,30,B,100,100,100,100
WA2-30B,AlWajh,Acropora,2,30,B,80,80,100,80
WA3-30B,AlWajh,Acropora,3,30,B,80,60,100,80
WA4-30B,AlWajh,Acropora,4,30,B,100,80,100,100
WA5-30B,AlWajh,Acropora,5,30,B,80,80,100,80
WA6-30B,AlWajh,Acropora,6,30,B,60,60,80,60
WA7-30B,AlWajh,Acropora,7,30,B,100,100,100,100
WA1-33A,AlWajh,Acropora,1,33,A,100,100,100,100
WA2-33A,AlWajh,Acropora,2,33,A,100,100,100,100
WA3-33A,AlWajh,Acropora,3,33,A,80,80,100,80
WA4-33A,AlWajh,Acropora,4,33,A,100,100,80,100
WA5-33A,AlWajh,Acropora,5,33,A,60,80,80,80
WA6-33A,AlWajh,Acropora,6,33,A,100,100,100,100
WA7-33A,AlWajh,Acropora,7,33,A,100,100,100,100
WA1-33B,AlWajh,Acropora,1,33,B,100,100,100,100
WA2-33B,AlWajh,Acropora,2,33,B,100,100,100,100
WA3-33B,AlWajh,Acropora,3,33,B,60,80,80,80
WA4-33B,AlWajh,Acropora,4,33,B,80,80,80,80
WA5-33B,AlWajh,Acropora,5,33,B,40,60,60,60
WA6-33B,AlWajh,Acropora,6,33,B,60,100,80,80
WA7-33B,AlWajh,Acropora,7,33,B,80,80,80,80
WA1-36A,AlWajh,Acropora,1,36,A,40,40,40,40
WA2-36A,AlWajh,Acropora,2,36,A,20,20,20,20
WA3-36A,AlWajh,Acropora,3,36,A,20,20,20,20
WA4-36A,AlWajh,Acropora,4,36,A,0,0,0,0
WA5-36A,AlWajh,Acropora,5,36,A,0,0,0,0
WA6-36A,AlWajh,Acropora,6,36,A,0,0,0,0
WA7-36A,AlWajh,Acropora,7,36,A,20,20,20,20
WA1-36B,AlWajh,Acropora,1,36,B,40,40,20,40
WA2-36B,AlWajh,Acropora,2,36,B,0,0,20,0
WA3-36B,AlWajh,Acropora,3,36,B,20,20,20,20
WA4-36B,AlWajh,Acropora,4,36,B,0,0,0,0
WA5-36B,AlWajh,Acropora,5,36,B,0,0,20,0
WA6-36B,AlWajh,Acropora,6,36,B,20,20,20,20
WA7-36B,AlWajh,Acropora,7,36,B,20,20,20,20
WA1-39A,AlWajh,Acropora,1,39,A,0,0,0,0
WA2-39A,AlWajh,Acropora,2,39,A,0,0,0,0
WA3-39A,AlWajh,Acropora,3,39,A,0,0,0,0
WA4-39A,AlWajh,Acropora,4,39,A,0,0,0,0
WA5-39A,AlWajh,Acropora,5,39,A,0,0,0,0
WA6-39A,AlWajh,Acropora,6,39,A,0,0,0,0
WA7-39A,AlWajh,Acropora,7,39,A,0,0,0,0
WA1-39B,AlWajh,Acropora,1,39,B,0,0,0,0
WA2-39B,AlWajh,Acropora,2,39,B,0,0,0,0
WA3-39B,AlWajh,Acropora,3,39,B,0,0,0,0
WA4-39B,AlWajh,Acropora,4,39,B,0,0,0,0
WA5-39B,AlWajh,Acropora,5,39,B,0,0,0,0
WA6-39B,AlWajh,Acropora,6,39,B,0,0,0,0
WA7-39B,AlWajh,Acropora,7,39,B,0,0,0,0
EA1-30A,Eilat,Acropora,1,30,A,40,20,0,20
EA2-30A,Eilat,Acropora,2,30,A,20,0,0,0
EA3-30A,Eilat,Acropora,3,30,A,20,0,0,0
EA4-30A,Eilat,Acropora,4,30,A,20,0,0,0
EA5-30A,Eilat,Acropora,5,30,A,20,0,0,0
EA6-30A,Eilat,Acropora,6,30,A,20,0,0,0
EA7-30A,Eilat,Acropora,7,30,A,0,40,20,20
EA1-30B,Eilat,Acropora,1,30,B,80,0,0,0
EA2-30B,Eilat,Acropora,2,30,B,20,0,0,0
EA3-30B,Eilat,Acropora,3,30,B,0,0,0,0
EA4-30B,Eilat,Acropora,4,30,B,20,0,0,0
EA5-30B,Eilat,Acropora,5,30,B,20,0,0,0
EA6-30B,Eilat,Acropora,6,30,B,20,20,20,20
EA7-30B,Eilat,Acropora,7,30,B,20,20,20,20
EA1-33A,Eilat,Acropora,1,33,A,20,20,20,20
EA2-33A,Eilat,Acropora,2,33,A,20,0,0,0
EA3-33A,Eilat,Acropora,3,33,A,20,0,0,0
EA4-33A,Eilat,Acropora,4,33,A,20,0,0,0
EA5-33A,Eilat,Acropora,5,33,A,0,0,0,0
EA6-33A,Eilat,Acropora,6,33,A,20,0,0,0
EA7-33A,Eilat,Acropora,7,33,A,20,20,20,20
EA1-33B,Eilat,Acropora,1,33,B,0,0,0,0
EA2-33B,Eilat,Acropora,2,33,B,20,20,20,20
EA3-33B,Eilat,Acropora,3,33,B,0,0,0,0
EA4-33B,Eilat,Acropora,4,33,B,0,0,0,0
EA5-33B,Eilat,Acropora,5,33,B,0,0,0,0
EA6-33B,Eilat,Acropora,6,33,B,0,0,0,0
EA7-33B,Eilat,Acropora,7,33,B,40,40,40,40
EA1-36A,Eilat,Acropora,1,36,A,0,0,0,0
EA2-36A,Eilat,Acropora,2,36,A,0,0,0,0
EA3-36A,Eilat,Acropora,3,36,A,0,0,0,0
EA4-36A,Eilat,Acropora,4,36,A,0,0,0,0
EA5-36A,Eilat,Acropora,5,36,A,0,0,0,0
EA6-36A,Eilat,Acropora,6,36,A,0,0,0,0
EA7-36A,Eilat,Acropora,7,36,A,0,0,0,0
EA1-36B,Eilat,Acropora,1,36,B,0,0,0,0
EA2-36B,Eilat,Acropora,2,36,B,0,0,0,0
EA3-36B,Eilat,Acropora,3,36,B,0,0,0,0
EA4-36B,Eilat,Acropora,4,36,B,0,0,0,0
EA5-36B,Eilat,Acropora,5,36,B,0,0,0,0
EA6-36B,Eilat,Acropora,6,36,B,0,0,0,0
EA7-36B,Eilat,Acropora,7,36,B,0,0,0,0
EA1-39A,Eilat,Acropora,1,39,A,0,0,0,0
EA2-39A,Eilat,Acropora,2,39,A,0,0,0,0
EA3-39A,Eilat,Acropora,3,39,A,0,0,0,0
EA4-39A,Eilat,Acropora,4,39,A,0,0,0,0
EA5-39A,Eilat,Acropora,5,39,A,0,0,0,0
EA6-39A,Eilat,Acropora,6,39,A,0,0,0,0
EA7-39A,Eilat,Acropora,7,39,A,0,0,20,0
EA1-39B,Eilat,Acropora,1,39,B,0,0,0,0
EA2-39B,Eilat,Acropora,2,39,B,0,0,0,0
EA3-39B,Eilat,Acropora,3,39,B,0,0,0,0
EA4-39B,Eilat,Acropora,4,39,B,0,0,0,0
EA5-39B,Eilat,Acropora,5,39,B,0,0,0,0
EA6-39B,Eilat,Acropora,6,39,B,0,0,0,0
EA7-39B,Eilat,Acropora,7,39,B,0,0,0,0
YA1-30A,Yanbu,Acropora,1,30,A,100,100,100,100
YA2-30A,Yanbu,Acropora,2,30,A,80,60,80,80
YA3-30A,Yanbu,Acropora,3,30,A,100,80,100,100
YA4-30A,Yanbu,Acropora,4,30,A,100,100,100,100
YA5-30A,Yanbu,Acropora,5,30,A,100,100,100,100
YA6-30A,Yanbu,Acropora,6,30,A,100,100,100,100
YA7-30A,Yanbu,Acropora,7,30,A,100,80,100,100
YA1-30B,Yanbu,Acropora,1,30,B,100,100,100,100
YA2-30B,Yanbu,Acropora,2,30,B,100,80,100,100
YA3-30B,Yanbu,Acropora,3,30,B,100,100,100,100
YA4-30B,Yanbu,Acropora,4,30,B,100,100,100,100
YA5-30B,Yanbu,Acropora,5,30,B,100,100,100,100
YA6-30B,Yanbu,Acropora,6,30,B,100,100,100,100
YA7-30B,Yanbu,Acropora,7,30,B,100,100,100,100
YA1-33A,Yanbu,Acropora,1,33,A,100,100,100,100
YA2-33A,Yanbu,Acropora,2,33,A,80,80,100,80
YA3-33A,Yanbu,Acropora,3,33,A,80,80,80,80
YA4-33A,Yanbu,Acropora,4,33,A,80,80,100,80
YA5-33A,Yanbu,Acropora,5,33,A,80,80,80,80
YA6-33A,Yanbu,Acropora,6,33,A,80,80,80,80
YA7-33A,Yanbu,Acropora,7,33,A,80,80,80,80
YA1-33B,Yanbu,Acropora,1,33,B,100,100,100,100
YA2-33B,Yanbu,Acropora,2,33,B,80,80,80,80
YA3-33B,Yanbu,Acropora,3,33,B,80,80,80,80
YA4-33B,Yanbu,Acropora,4,33,B,100,100,100,100
YA5-33B,Yanbu,Acropora,5,33,B,60,80,60,60
YA6-33B,Yanbu,Acropora,6,33,B,80,100,80,80
YA7-33B,Yanbu,Acropora,7,33,B,80,80,80,80
YA1-36A,Yanbu,Acropora,1,36,A,60,80,60,60
YA2-36A,Yanbu,Acropora,2,36,A,20,20,40,20
YA3-36A,Yanbu,Acropora,3,36,A,20,20,40,20
YA4-36A,Yanbu,Acropora,4,36,A,20,20,40,20
YA5-36A,Yanbu,Acropora,5,36,A,20,20,40,20
YA6-36A,Yanbu,Acropora,6,36,A,20,20,40,20
YA7-36A,Yanbu,Acropora,7,36,A,20,20,20,20
YA1-36B,Yanbu,Acropora,1,36,B,40,20,40,40
YA2-36B,Yanbu,Acropora,2,36,B,0,0,20,0
YA3-36B,Yanbu,Acropora,3,36,B,0,20,20,20
YA4-36B,Yanbu,Acropora,4,36,B,20,20,40,20
YA5-36B,Yanbu,Acropora,5,36,B,20,20,20,20
YA6-36B,Yanbu,Acropora,6,36,B,0,0,20,0
YA7-36B,Yanbu,Acropora,7,36,B,0,0,20,0
YA1-39A,Yanbu,Acropora,1,39,A,0,0,0,0
YA2-39A,Yanbu,Acropora,2,39,A,0,0,0,0
YA3-39A,Yanbu,Acropora,3,39,A,0,0,0,0
YA4-39A,Yanbu,Acropora,4,39,A,0,0,0,0
YA5-39A,Yanbu,Acropora,5,39,A,0,0,0,0
YA6-39A,Yanbu,Acropora,6,39,A,0,0,0,0
YA7-39A,Yanbu,Acropora,7,39,A,0,0,0,0
YA1-39B,Yanbu,Acropora,1,39,B,0,0,0,0
YA2-39B,Yanbu,Acropora,2,39,B,0,0,0,0
YA3-39B,Yanbu,Acropora,3,39,B,0,0,0,0
YA4-39B,Yanbu,Acropora,4,39,B,0,0,0,0
YA5-39B,Yanbu,Acropora,5,39,B,0,0,0,0
YA6-39B,Yanbu,Acropora,6,39,B,0,0,0,0
YA7-39B,Yanbu,Acropora,7,39,B,0,0,0,0
KL1-30A,AlFahal,Porites,1,30,A,100,100,100,100
KL2-30A,AlFahal,Porites,2,30,A,100,100,100,100
KL3-30A,AlFahal,Porites,3,30,A,100,100,100,100
KL4-30A,AlFahal,Porites,4,30,A,100,80,100,100
KL5-30A,AlFahal,Porites,5,30,A,100,100,100,100
KL6-30A,AlFahal,Porites,6,30,A,100,100,100,100
KL7-30A,AlFahal,Porites,7,30,A,100,100,100,100
KL1-30B,AlFahal,Porites,1,30,B,100,100,100,100
KL2-30B,AlFahal,Porites,2,30,B,100,100,100,100
KL3-30B,AlFahal,Porites,3,30,B,100,100,100,100
KL4-30B,AlFahal,Porites,4,30,B,100,80,100,100
KL5-30B,AlFahal,Porites,5,30,B,100,100,100,100
KL6-30B,AlFahal,Porites,6,30,B,100,100,100,100
KL7-30B,AlFahal,Porites,7,30,B,100,100,100,100
KL1-33A,AlFahal,Porites,1,33,A,100,100,100,100
KL2-33A,AlFahal,Porites,2,33,A,80,80,80,80
KL3-33A,AlFahal,Porites,3,33,A,100,100,100,100
KL4-33A,AlFahal,Porites,4,33,A,100,100,100,100
KL5-33A,AlFahal,Porites,5,33,A,100,100,100,100
KL6-33A,AlFahal,Porites,6,33,A,100,100,100,100
KL7-33A,AlFahal,Porites,7,33,A,100,100,100,100
KL1-33B,AlFahal,Porites,1,33,B,100,100,100,100
KL2-33B,AlFahal,Porites,2,33,B,100,100,100,100
KL3-33B,AlFahal,Porites,3,33,B,100,100,100,100
KL4-33B,AlFahal,Porites,4,33,B,100,100,100,100
KL5-33B,AlFahal,Porites,5,33,B,100,100,100,100
KL6-33B,AlFahal,Porites,6,33,B,100,100,100,100
KL7-33B,AlFahal,Porites,7,33,B,100,100,100,100
KL1-36A,AlFahal,Porites,1,36,A,100,100,100,100
KL2-36A,AlFahal,Porites,2,36,A,100,100,100,100
KL3-36A,AlFahal,Porites,3,36,A,100,100,100,100
KL4-36A,AlFahal,Porites,4,36,A,100,100,100,100
KL5-36A,AlFahal,Porites,5,36,A,100,100,100,100
KL6-36A,AlFahal,Porites,6,36,A,100,100,100,100
KL7-36A,AlFahal,Porites,7,36,A,100,100,100,100
KL1-36B,AlFahal,Porites,1,36,B,100,100,100,100
KL2-36B,AlFahal,Porites,2,36,B,80,80,100,80
KL3-36B,AlFahal,Porites,3,36,B,100,100,100,100
KL4-36B,AlFahal,Porites,4,36,B,100,100,100,100
KL5-36B,AlFahal,Porites,5,36,B,100,100,100,100
KL6-36B,AlFahal,Porites,6,36,B,100,100,100,100
KL7-36B,AlFahal,Porites,7,36,B,100,100,100,100
KL1-39A,AlFahal,Porites,1,39,A,40,80,40,40
KL2-39A,AlFahal,Porites,2,39,A,100,100,100,100
KL3-39A,AlFahal,Porites,3,39,A,80,80,80,80
KL4-39A,AlFahal,Porites,4,39,A,0,0,0,0
KL5-39A,AlFahal,Porites,5,39,A,80,100,100,100
KL6-39A,AlFahal,Porites,6,39,A,60,80,40,60
KL7-39A,AlFahal,Porites,7,39,A,40,60,40,40
KL1-39B,AlFahal,Porites,1,39,B,60,60,40,60
KL2-39B,AlFahal,Porites,2,39,B,80,100,60,80
KL3-39B,AlFahal,Porites,3,39,B,40,60,40,40
KL4-39B,AlFahal,Porites,4,39,B,60,40,40,40
KL5-39B,AlFahal,Porites,5,39,B,100,40,40,40
KL6-39B,AlFahal,Porites,6,39,B,80,60,60,60
KL7-39B,AlFahal,Porites,7,39,B,0,0,0,0
QL1-30A,AlQunfudhah,Porites,1,30,A,100,100,100,100
QL2-30A,AlQunfudhah,Porites,2,30,A,100,100,100,100
QL3-30A,AlQunfudhah,Porites,3,30,A,100,100,100,100
QL4-30A,AlQunfudhah,Porites,4,30,A,100,100,100,100
QL5-30A,AlQunfudhah,Porites,5,30,A,100,100,100,100
QL6-30A,AlQunfudhah,Porites,6,30,A,100,100,100,100
QL7-30A,AlQunfudhah,Porites,7,30,A,100,100,100,100
QL1-30B,AlQunfudhah,Porites,1,30,B,100,100,100,100
QL2-30B,AlQunfudhah,Porites,2,30,B,100,100,100,100
QL3-30B,AlQunfudhah,Porites,3,30,B,100,100,100,100
QL4-30B,AlQunfudhah,Porites,4,30,B,100,100,100,100
QL5-30B,AlQunfudhah,Porites,5,30,B,100,100,100,100
QL6-30B,AlQunfudhah,Porites,6,30,B,100,100,100,100
QL7-30B,AlQunfudhah,Porites,7,30,B,100,100,100,100
QL1-33A,AlQunfudhah,Porites,1,33,A,100,100,100,100
QL2-33A,AlQunfudhah,Porites,2,33,A,100,100,100,100
QL3-33A,AlQunfudhah,Porites,3,33,A,100,100,80,100
QL4-33A,AlQunfudhah,Porites,4,33,A,100,100,100,100
QL5-33A,AlQunfudhah,Porites,5,33,A,100,100,100,100
QL6-33A,AlQunfudhah,Porites,6,33,A,80,80,80,80
QL7-33A,AlQunfudhah,Porites,7,33,A,100,100,100,100
QL1-33B,AlQunfudhah,Porites,1,33,B,100,100,100,100
QL2-33B,AlQunfudhah,Porites,2,33,B,100,100,100,100
QL3-33B,AlQunfudhah,Porites,3,33,B,100,100,100,100
QL4-33B,AlQunfudhah,Porites,4,33,B,100,100,100,100
QL5-33B,AlQunfudhah,Porites,5,33,B,100,100,100,100
QL6-33B,AlQunfudhah,Porites,6,33,B,80,100,80,80
QL7-33B,AlQunfudhah,Porites,7,33,B,100,100,100,100
QL1-36A,AlQunfudhah,Porites,1,36,A,80,100,80,80
QL2-36A,AlQunfudhah,Porites,2,36,A,100,100,80,100
QL3-36A,AlQunfudhah,Porites,3,36,A,80,100,80,80
QL4-36A,AlQunfudhah,Porites,4,36,A,100,100,100,100
QL5-36A,AlQunfudhah,Porites,5,36,A,100,100,80,100
QL6-36A,AlQunfudhah,Porites,6,36,A,100,100,80,100
QL7-36A,AlQunfudhah,Porites,7,36,A,60,100,80,80
QL1-36B,AlQunfudhah,Porites,1,36,B,60,60,40,60
QL2-36B,AlQunfudhah,Porites,2,36,B,60,60,40,60
QL3-36B,AlQunfudhah,Porites,3,36,B,40,20,20,20
QL4-36B,AlQunfudhah,Porites,4,36,B,40,20,20,20
QL5-36B,AlQunfudhah,Porites,5,36,B,80,60,40,60
QL6-36B,AlQunfudhah,Porites,6,36,B,20,20,20,20
QL7-36B,AlQunfudhah,Porites,7,36,B,20,20,20,20
QL1-39A,AlQunfudhah,Porites,1,39,A,100,80,100,100
QL2-39A,AlQunfudhah,Porites,2,39,A,0,20,20,20
QL3-39A,AlQunfudhah,Porites,3,39,A,40,40,40,40
QL4-39A,AlQunfudhah,Porites,4,39,A,20,20,20,20
QL5-39A,AlQunfudhah,Porites,5,39,A,20,20,20,20
QL6-39A,AlQunfudhah,Porites,6,39,A,80,60,80,80
QL7-39A,AlQunfudhah,Porites,7,39,A,60,60,80,60
QL1-39B,AlQunfudhah,Porites,1,39,B,100,80,100,100
QL2-39B,AlQunfudhah,Porites,2,39,B,80,60,80,80
QL3-39B,AlQunfudhah,Porites,3,39,B,80,80,80,80
QL4-39B,AlQunfudhah,Porites,4,39,B,20,0,0,0
QL5-39B,AlQunfudhah,Porites,5,39,B,20,20,20,20
QL6-39B,AlQunfudhah,Porites,6,39,B,60,60,60,60
QL7-39B,AlQunfudhah,Porites,7,39,B,60,60,60,60
WL1-30A,AlWajh,Porites,1,30,A,100,80,80,80
WL2-30A,AlWajh,Porites,2,30,A,100,100,100,100
WL3-30A,AlWajh,Porites,3,30,A,100,100,100,100
WL4-30A,AlWajh,Porites,4,30,A,100,100,100,100
WL5-30A,AlWajh,Porites,5,30,A,100,100,100,100
WL6-30A,AlWajh,Porites,6,30,A,100,100,100,100
WL7-30A,AlWajh,Porites,7,30,A,100,100,100,100
WL1-30B,AlWajh,Porites,1,30,B,100,100,100,100
WL2-30B,AlWajh,Porites,2,30,B,100,100,100,100
WL3-30B,AlWajh,Porites,3,30,B,100,100,100,100
WL4-30B,AlWajh,Porites,4,30,B,100,100,100,100
WL5-30B,AlWajh,Porites,5,30,B,100,100,100,100
WL6-30B,AlWajh,Porites,6,30,B,100,100,100,100
WL7-30B,AlWajh,Porites,7,30,B,100,100,100,100
WL1-33A,AlWajh,Porites,1,33,A,100,100,80,100
WL2-33A,AlWajh,Porites,2,33,A,100,80,80,80
WL3-33A,AlWajh,Porites,3,33,A,100,100,100,100
WL4-33A,AlWajh,Porites,4,33,A,100,100,100,100
WL5-33A,AlWajh,Porites,5,33,A,100,100,100,100
WL6-33A,AlWajh,Porites,6,33,A,100,100,100,100
WL7-33A,AlWajh,Porites,7,33,A,100,100,100,100
WL1-33B,AlWajh,Porites,1,33,B,100,100,100,100
WL2-33B,AlWajh,Porites,2,33,B,100,80,80,80
WL3-33B,AlWajh,Porites,3,33,B,100,100,100,100
WL4-33B,AlWajh,Porites,4,33,B,100,100,100,100
WL5-33B,AlWajh,Porites,5,33,B,100,100,100,100
WL6-33B,AlWajh,Porites,6,33,B,100,100,100,100
WL7-33B,AlWajh,Porites,7,33,B,100,100,100,100
WL1-36A,AlWajh,Porites,1,36,A,60,40,40,40
WL2-36A,AlWajh,Porites,2,36,A,60,20,20,20
WL3-36A,AlWajh,Porites,3,36,A,40,20,20,20
WL4-36A,AlWajh,Porites,4,36,A,20,20,20,20
WL5-36A,AlWajh,Porites,5,36,A,40,40,40,40
WL6-36A,AlWajh,Porites,6,36,A,20,20,20,20
WL7-36A,AlWajh,Porites,7,36,A,80,40,40,40
WL1-36B,AlWajh,Porites,1,36,B,80,60,40,60
WL2-36B,AlWajh,Porites,2,36,B,20,20,20,20
WL3-36B,AlWajh,Porites,3,36,B,40,20,20,20
WL4-36B,AlWajh,Porites,4,36,B,20,0,0,0
WL5-36B,AlWajh,Porites,5,36,B,60,20,20,20
WL6-36B,AlWajh,Porites,6,36,B,20,20,20,20
WL7-36B,AlWajh,Porites,7,36,B,80,40,40,40
WL1-39A,AlWajh,Porites,1,39,A,40,40,20,40
WL2-39A,AlWajh,Porites,2,39,A,40,40,20,40
WL3-39A,AlWajh,Porites,3,39,A,40,40,20,40
WL4-39A,AlWajh,Porites,4,39,A,40,40,20,40
WL5-39A,AlWajh,Porites,5,39,A,20,20,20,20
WL6-39A,AlWajh,Porites,6,39,A,20,40,20,20
WL7-39A,AlWajh,Porites,7,39,A,20,40,20,20
WL1-39B,AlWajh,Porites,1,39,B,40,40,20,40
WL2-39B,AlWajh,Porites,2,39,B,0,0,0,0
WL3-39B,AlWajh,Porites,3,39,B,80,80,60,80
WL4-39B,AlWajh,Porites,4,39,B,40,40,60,40
WL5-39B,AlWajh,Porites,5,39,B,20,20,20,20
WL6-39B,AlWajh,Porites,6,39,B,20,40,20,20
WL7-39B,AlWajh,Porites,7,39,B,20,40,20,20
OL1-30A,Obock,Porites,1,30,A,100,100,100,100
OL2-30A,Obock,Porites,2,30,A,100,100,100,100
OL3-30A,Obock,Porites,3,30,A,100,100,100,100
OL4-30A,Obock,Porites,4,30,A,100,100,100,100
