Label,Site,Species,Geno,Temp,Replicate,Bleaching_score_GP,Bleaching_score_AC,Bleaching_score_CB,Median
OL5-30A,Obock,Porites,5,30,A,100,100,100,100
OL6-30A,Obock,Porites,6,30,A,100,100,100,100
OL7-30A,Obock,Porites,7,30,A,100,100,100,100
OL1-30B,Obock,Porites,1,30,B,100,100,100,100
OL2-30B,Obock,Porites,2,30,B,100,100,100,100
OL3-30B,Obock,Porites,3,30,B,100,100,100,100
OL4-30B,Obock,Porites,4,30,B,100,100,100,100
OL5-30B,Obock,Porites,5,30,B,100,100,100,100
OL6-30B,Obock,Porites,6,30,B,100,100,100,100
OL7-30B,Obock,Porites,7,30,B,100,100,100,100
OL1-33A,Obock,Porites,1,33,A,100,100,100,100
OL2-33A,Obock,Porites,2,33,A,100,100,100,100
OL3-33A,Obock,Porites,3,33,A,100,100,100,100
OL4-33A,Obock,Porites,4,33,A,100,100,100,100
OL5-33A,Obock,Porites,5,33,A,100,100,100,100
OL6-33A,Obock,Porites,6,33,A,100,100,100,100
OL7-33A,Obock,Porites,7,33,A,100,100,100,100
OL1-33B,Obock,Porites,1,33,B,100,100,100,100
OL2-33B,Obock,Porites,2,33,B,100,100,100,100
OL3-33B,Obock,Porites,3,33,B,100,100,100,100
OL4-33B,Obock,Porites,4,33,B,100,100,100,100
OL5-33B,Obock,Porites,5,33,B,100,100,100,100
OL6-33B,Obock,Porites,6,33,B,100,100,100,100
OL7-33B,Obock,Porites,7,33,B,100,100,100,100
OL1-36A,Obock,Porites,1,36,A,100,100,100,100
OL2-36A,Obock,Porites,2,36,A,80,100,100,100
OL3-36A,Obock,Porites,3,36,A,20,100,40,40
OL4-36A,Obock,Porites,4,36,A,40,40,80,40
OL5-36A,Obock,Porites,5,36,A,80,60,100,80
OL6-36A,Obock,Porites,6,36,A,40,60,80,60
OL7-36A,Obock,Porites,7,36,A,20,60,80,60
OL1-36B,Obock,Porites,1,36,B,100,100,100,100
OL2-36B,Obock,Porites,2,36,B,80,100,100,100
OL3-36B,Obock,Porites,3,36,B,20,60,40,40
OL4-36B,Obock,Porites,4,36,B,40,80,80,80
OL5-36B,Obock,Porites,5,36,B,60,80,80,80
OL6-36B,Obock,Porites,6,36,B,60,80,80,80
OL7-36B,Obock,Porites,7,36,B,40,80,80,80
OL1-39A,Obock,Porites,1,39,A,20,20,20,20
OL2-39A,Obock,Porites,2,39,A,0,0,0,0
OL3-39A,Obock,Porites,3,39,A,0,0,0,0
OL4-39A,Obock,Porites,4,39,A,0,0,0,0
OL5-39A,Obock,Porites,5,39,A,0,0,0,0
OL6-39A,Obock,Porites,6,39,A,0,0,0,0
OL7-39A,Obock,Porites,7,39,A,0,20,0,0
OL1-39B,Obock,Porites,1,39,B,0,0,0,0
OL2-39B,Obock,Porites,2,39,B,0,20,0,0
OL3-39B,Obock,Porites,3,39,B,0,0,0,0
OL4-39B,Obock,Porites,4,39,B,0,0,0,0
OL5-39B,Obock,Porites,5,39,B,0,0,0,0
OL6-39B,Obock,Porites,6,39,B,0,20,0,0
OL7-39B,Obock,Porites,7,39,B,0,40,20,20
YL1-30A,Yanbu,Porites,1,30,A,100,100,100,100
YL2-30A,Yanbu,Porites,2,30,A,100,100,100,100
YL3-30A,Yanbu,Porites,3,30,A,100,100,100,100
YL4-30A,Yanbu,Porites,4,30,A,100,100,100,100
YL5-30A,Yanbu,Porites,5,30,A,100,100,100,100
YL6-30A,Yanbu,Porites,6,30,A,100,100,100,100
YL7-30A,Yanbu,Porites,7,30,A,100,100,100,100
YL1-30B,Yanbu,Porites,1,30,B,100,100,100,100
YL2-30B,Yanbu,Porites,2,30,B,100,100,100,100
YL3-30B,Yanbu,Porites,3,30,B,100,80,80,80
YL4-30B,Yanbu,Porites,4,30,B,100,100,100,100
YL5-30B,Yanbu,Porites,5,30,B,100,80,100,100
YL6-30B,Yanbu,Porites,6,30,B,100,100,100,100
YL7-30B,Yanbu,Porites,7,30,B,100,80,80,80
YL1-33A,Yanbu,Porites,1,33,A,100,80,100,100
YL2-33A,Yanbu,Porites,2,33,A,100,100,100,100
YL3-33A,Yanbu,Porites,3,33,A,80,100,100,100
YL4-33A,Yanbu,Porites,4,33,A,100,100,100,100
YL5-33A,Yanbu,Porites,5,33,A,80,80,80,80
YL6-33A,Yanbu,Porites,6,33,A,80,80,60,80
YL7-33A,Yanbu,Porites,7,33,A,100,100,100,100
YL1-33B,Yanbu,Porites,1,33,B,100,80,80,80
YL2-33B,Yanbu,Porites,2,33,B,100,100,100,100
YL3-33B,Yanbu,Porites,3,33,B,100,100,100,100
YL4-33B,Yanbu,Porites,4,33,B,100,100,100,100
YL5-33B,Yanbu,Porites,5,33,B,80,80,80,80
YL6-33B,Yanbu,Porites,6,33,B,100,100,100,100
YL7-33B,Yanbu,Porites,7,33,B,100,100,100,100
YL1-36A,Yanbu,Porites,1,36,A,80,60,60,60
YL2-36A,Yanbu,Porites,2,36,A,100,100,100,100
YL3-36A,Yanbu,Porites,3,36,A,20,60,40,40
YL4-36A,Yanbu,Porites,4,36,A,100,100,100,100
YL5-36A,Yanbu,Porites,5,36,A,20,40,20,20
YL6-36A,Yanbu,Porites,6,36,A,80,60,80,80
YL7-36A,Yanbu,Porites,7,36,A,40,40,60,40
YL1-36B,Yanbu,Porites,1,36,B,80,60,40,60
YL2-36B,Yanbu,Porites,2,36,B,100,100,100,100
YL3-36B,Yanbu,Porites,3,36,B,60,60,60,60
YL4-36B,Yanbu,Porites,4,36,B,80,80,80,80
YL5-36B,Yanbu,Porites,5,36,B,20,40,20,20
YL6-36B,Yanbu,Porites,6,36,B,100,80,80,80
YL7-36B,Yanbu,Porites,7,36,B,40,60,60,60
YL1-39A,Yanbu,Porites,1,39,A,0,0,0,0
YL2-39A,Yanbu,Porites,2,39,A,0,0,0,0
YL3-39A,Yanbu,Porites,3,39,A,0,0,0,0
YL4-39A,Yanbu,Porites,4,39,A,20,40,40,40
YL5-39A,Yanbu,Porites,5,39,A,0,20,20,20
YL6-39A,Yanbu,Porites,6,39,A,80,60,40,60
YL7-39A,Yanbu,Porites,7,39,A,0,20,20,20
YL1-39B,Yanbu,Porites,1,39,B,80,80,80,80
YL2-39B,Yanbu,Porites,2,39,B,0,0,0,0
YL3-39B,Yanbu,Porites,3,39,B,0,0,0,0
YL4-39B,Yanbu,Porites,4,39,B,0,0,20,0
YL5-39B,Yanbu,Porites,5,39,B,20,20,20,20
YL6-39B,Yanbu,Porites,6,39,B,60,80,80,80
YL7-39B,Yanbu,Porites,7,39,B,0,20,20,20
KP2-30A,AlFahal,Pocillopora,2,30,A,100,100,100,100
KP3-30A,AlFahal,Pocillopora,3,30,A,100,100,100,100
KP4-30A,AlFahal,Pocillopora,4,30,A,100,100,100,100
KP1-30B,AlFahal,Pocillopora,1,30,B,100,100,100,100
KP2-30B,AlFahal,Pocillopora,2,30,B,100,100,100,100
KP3-30B,AlFahal,Pocillopora,3,30,B,100,100,100,100
KP6-30B,AlFahal,Pocillopora,6,30,B,100,100,100,100
KP2-33A,AlFahal,Pocillopora,2,33,A,100,100,100,100
KP4-33A,AlFahal,Pocillopora,4,33,A,60,80,80,80
KP6-33A,AlFahal,Pocillopora,6,33,A,80,80,80,80
KP2-33B,AlFahal,Pocillopora,2,33,B,80,80,80,80
KP3-33B,AlFahal,Pocillopora,3,33,B,80,80,80,80
KP4-33B,AlFahal,Pocillopora,4,33,B,60,60,60,60
KP5-33B,AlFahal,Pocillopora,5,33,B,20,40,60,40
KP6-33B,AlFahal,Pocillopora,6,33,B,40,60,80,60
KP2-36A,AlFahal,Pocillopora,2,36,A,40,80,80,80
KP4-36A,AlFahal,Pocillopora,4,36,A,20,40,60,40
KP5-36A,AlFahal,Pocillopora,5,36,A,0,20,60,20
KP6-36A,AlFahal,Pocillopora,6,36,A,40,80,80,80
KP1-36B,AlFahal,Pocillopora,1,36,B,60,80,60,60
KP2-36B,AlFahal,Pocillopora,2,36,B,40,80,60,60
KP3-36B,AlFahal,Pocillopora,3,36,B,80,100,100,100
KP4-36B,AlFahal,Pocillopora,4,36,B,20,0,20,20
KP6-36B,AlFahal,Pocillopora,6,36,B,20,20,40,20
KP1-39A,AlFahal,Pocillopora,1,39,A,0,0,0,0
KP2-39A,AlFahal,Pocillopora,2,39,A,0,0,0,0
KP3-39A,AlFahal,Pocillopora,3,39,A,0,0,0,0
KP4-39A,AlFahal,Pocillopora,4,39,A,0,0,0,0
KP5-39A,AlFahal,Pocillopora,5,39,A,0,0,0,0
KP6-39A,AlFahal,Pocillopora,6,39,A,0,0,0,0
KP2-39B,AlFahal,Pocillopora,2,39,B,0,0,0,0
KP5-39B,AlFahal,Pocillopora,5,39,B,0,0,0,0
KP6-39B,AlFahal,Pocillopora,6,39,B,0,0,0,0
WP1-30A,AlWajh,Pocillopora,1,30,A,100,100,100,100
WP2-30A,AlWajh,Pocillopora,2,30,A,20,60,60,60
WP3-30A,AlWajh,Pocillopora,3,30,A,100,100,100,100
WP4-30A,AlWajh,Pocillopora,4,30,A,100,100,100,100
WP5-30A,AlWajh,Pocillopora,5,30,A,20,60,60,60
WP6-30A,AlWajh,Pocillopora,6,30,A,80,80,100,80
WP7-30A,AlWajh,Pocillopora,7,30,A,100,80,100,100
WP1-30B,AlWajh,Pocillopora,1,30,B,100,80,100,100
WP2-30B,AlWajh,Pocillopora,2,30,B,80,60,80,80
WP3-30B,AlWajh,Pocillopora,3,30,B,100,60,80,80
WP4-30B,AlWajh,Pocillopora,4,30,B,100,80,80,80
WP5-30B,AlWajh,Pocillopora,5,30,B,80,80,80,80
WP6-30B,AlWajh,Pocillopora,6,30,B,100,100,100,100
WP7-30B,AlWajh,Pocillopora,7,30,B,100,100,100,100
WP1-33A,AlWajh,Pocillopora,1,33,A,60,80,80,80
WP2-33A,AlWajh,Pocillopora,2,33,A,80,80,80,80
WP3-33A,AlWajh,Pocillopora,3,33,A,100,80,80,80
WP4-33A,AlWajh,Pocillopora,4,33,A,100,80,80,80
WP5-33A,AlWajh,Pocillopora,5,33,A,80,80,80,80
WP6-33A,AlWajh,Pocillopora,6,33,A,100,100,80,100
WP7-33A,AlWajh,Pocillopora,7,33,A,100,100,80,100
WP1-33B,AlWajh,Pocillopora,1,33,B,100,80,80,80
WP2-33B,AlWajh,Pocillopora,2,33,B,80,80,80,80
WP3-33B,AlWajh,Pocillopora,3,33,B,100,80,80,80
WP4-33B,AlWajh,Pocillopora,4,33,B,100,80,80,80
WP5-33B,AlWajh,Pocillopora,5,33,B,80,80,80,80
WP6-33B,AlWajh,Pocillopora,6,33,B,100,100,80,100
WP7-33B,AlWajh,Pocillopora,7,33,B,100,80,80,80
WP1-36A,AlWajh,Pocillopora,1,36,A,100,80,80,80
WP2-36A,AlWajh,Pocillopora,2,36,A,80,80,80,80
WP3-36A,AlWajh,Pocillopora,3,36,A,60,60,80,60
WP4-36A,AlWajh,Pocillopora,4,36,A,80,80,100,80
WP5-36A,AlWajh,Pocillopora,5,36,A,60,60,80,60
WP6-36A,AlWajh,Pocillopora,6,36,A,60,80,100,80
WP7-36A,AlWajh,Pocillopora,7,36,A,40,80,80,80
WP1-36B,AlWajh,Pocillopora,1,36,B,80,80,80,80
WP2-36B,AlWajh,Pocillopora,2,36,B,100,80,100,100
WP3-36B,AlWajh,Pocillopora,3,36,B,20,20,20,20
WP4-36B,AlWajh,Pocillopora,4,36,B,20,20,20,20
WP5-36B,AlWajh,Pocillopora,5,36,B,20,20,20,20
WP6-36B,AlWajh,Pocillopora,6,36,B,80,80,80,80
WP7-36B,AlWajh,Pocillopora,7,36,B,20,20,20,20
WP1-39A,AlWajh,Pocillopora,1,39,A,100,0,0,0
WP2-39A,AlWajh,Pocillopora,2,39,A,100,0,0,0
WP3-39A,AlWajh,Pocillopora,3,39,A,100,0,0,0
WP4-39A,AlWajh,Pocillopora,4,39,A,100,0,0,0
WP5-39A,AlWajh,Pocillopora,5,39,A,100,0,0,0
WP6-39A,AlWajh,Pocillopora,6,39,A,100,0,0,0
WP7-39A,AlWajh,Pocillopora,7,39,A,100,0,0,0
WP1-39B,AlWajh,Pocillopora,1,39,B,100,0,0,0
WP2-39B,AlWajh,Pocillopora,2,39,B,100,0,0,0
WP3-39B,AlWajh,Pocillopora,3,39,B,100,0,0,0
WP4-39B,AlWajh,Pocillopora,4,39,B,100,0,0,0
WP5-39B,AlWajh,Pocillopora,5,39,B,100,0,0,0
WP6-39B,AlWajh,Pocillopora,6,39,B,100,0,0,0
WP7-39B,AlWajh,Pocillopora,7,39,B,100,0,0,0
EP1-30A,Eilat,Pocillopora,1,30,A,100,100,100,100
EP2-30A,Eilat,Pocillopora,2,30,A,80,80,80,80
EP3-30A,Eilat,Pocillopora,3,30,A,20,40,60,40
EP4-30A,Eilat,Pocillopora,4,30,A,80,80,80,80
EP5-30A,Eilat,Pocillopora,5,30,A,20,40,60,40
EP6-30A,Eilat,Pocillopora,6,30,A,100,100,100,100
EP7-30A,Eilat,Pocillopora,7,30,A,80,100,100,100
EP1-30B,Eilat,Pocillopora,1,30,B,100,100,100,100
EP2-30B,Eilat,Pocillopora,2,30,B,80,80,80,80
EP3-30B,Eilat,Pocillopora,3,30,B,40,40,60,40
EP4-30B,Eilat,Pocillopora,4,30,B,80,80,80,80
EP5-30B,Eilat,Pocillopora,5,30,B,20,40,60,40
EP6-30B,Eilat,Pocillopora,6,30,B,60,80,100,80
EP7-30B,Eilat,Pocillopora,7,30,B,100,100,100,100
EP1-33A,Eilat,Pocillopora,1,33,A,80,80,100,80
EP2-33A,Eilat,Pocillopora,2,33,A,40,60,60,60
EP3-33A,Eilat,Pocillopora,3,33,A,0,20,20,20
EP4-33A,Eilat,Pocillopora,4,33,A,20,20,40,20
EP5-33A,Eilat,Pocillopora,5,33,A,60,40,80,60
EP6-33A,Eilat,Pocillopora,6,33,A,60,40,80,60
EP7-33A,Eilat,Pocillopora,7,33,A,0,0,0,0
EP1-33B,Eilat,Pocillopora,1,33,B,80,80,100,80
EP2-33B,Eilat,Pocillopora,2,33,B,60,60,80,60
EP3-33B,Eilat,Pocillopora,3,33,B,60,60,60,60
EP4-33B,Eilat,Pocillopora,4,33,B,40,60,60,60
EP5-33B,Eilat,Pocillopora,5,33,B,20,20,20,20
EP6-33B,Eilat,Pocillopora,6,33,B,80,80,100,80
EP7-33B,Eilat,Pocillopora,7,33,B,40,40,60,40
EP1-36A,Eilat,Pocillopora,1,36,A,0,0,0,0
EP2-36A,Eilat,Pocillopora,2,36,A,0,0,0,0
EP3-36A,Eilat,Pocillopora,3,36,A,0,0,0,0
EP4-36A,Eilat,Pocillopora,4,36,A,0,0,0,0
EP5-36A,Eilat,Pocillopora,5,36,A,0,0,0,0
EP6-36A,Eilat,Pocillopora,6,36,A,0,0,0,0
EP7-36A,Eilat,Pocillopora,7,36,A,20,0,0,0
EP1-36B,Eilat,Pocillopora,1,36,B,20,20,20,20
EP2-36B,Eilat,Pocillopora,2,36,B,0,0,0,0
EP3-36B,Eilat,Pocillopora,3,36,B,20,20,0,20
EP4-36B,Eilat,Pocillopora,4,36,B,20,20,20,20
EP5-36B,Eilat,Pocillopora,5,36,B,0,0,0,0
EP6-36B,Eilat,Pocillopora,6,36,B,60,40,20,40
EP7-36B,Eilat,Pocillopora,7,36,B,20,20,20,20
EP1-39A,Eilat,Pocillopora,1,39,A,0,0,0,0
EP2-39A,Eilat,Pocillopora,2,39,A,0,0,0,0
EP3-39A,Eilat,Pocillopora,3,39,A,0,0,0,0
EP4-39A,Eilat,Pocillopora,4,39,A,0,0,0,0
EP5-39A,Eilat,Pocillopora,5,39,A,0,0,0,0
EP6-39A,Eilat,Pocillopora,6,39,A,0,0,0,0
EP7-39A,Eilat,Pocillopora,7,39,A,60,40,60,60
EP1-39B,Eilat,Pocillopora,1,39,B,0,0,0,0
EP2-39B,Eilat,Pocillopora,2,39,B,0,0,0,0
EP3-39B,Eilat,Pocillopora,3,39,B,0,0,0,0
EP4-39B,Eilat,Pocillopora,4,39,B,0,0,0,0
EP5-39B,Eilat,Pocillopora,5,39,B,0,0,0,0
EP6-39B,Eilat,Pocillopora,6,39,B,0,0,0,0
EP7-39B,Eilat,Pocillopora,7,39,B,0,0,0,0
OP1-30A,Obock,Pocillopora,1,30,A,100,100,100,100
OP2-30A,Obock,Pocillopora,2,30,A,80,80,100,80
OP3-30A,Obock,Pocillopora,3,30,A,100,100,100,100
OP4-30A,Obock,Pocillopora,4,30,A,100,100,100,100
OP5-30A,Obock,Pocillopora,5,30,A,100,100,100,100
OP6-30A,Obock,Pocillopora,6,30,A,100,100,100,100
OP1-33B,Obock,Pocillopora,1,33,B,100,100,100,100
OP2-33B,Obock,Pocillopora,2,33,B,80,80,80,80
OP3-33B,Obock,Pocillopora,3,33,B,100,100,100,100
OP4-33B,Obock,Pocillopora,4,33,B,80,80,100,80
OP5-33B,Obock,Pocillopora,5,33,B,100,100,100,100
OP6-33B,Obock,Pocillopora,6,33,B,80,80,100,80
OP7-33B,Obock,Pocillopora,7,33,B,80,80,100,80
OP1-36A,Obock,Pocillopora,1,36,A,40,60,40,40
OP2-36A,Obock,Pocillopora,2,36,A,20,60,40,40
OP3-36A,Obock,Pocillopora,3,36,A,60,60,60,60
OP4-36A,Obock,Pocillopora,4,36,A,60,60,60,60
OP5-36A,Obock,Pocillopora,5,36,A,0,0,0,0
OP6-36A,Obock,Pocillopora,6,36,A,40,60,60,60
OP7-36A,Obock,Pocillopora,7,36,A,40,60,60,60
OP1-36B,Obock,Pocillopora,1,36,B,40,60,60,60
OP2-36B,Obock,Pocillopora,2,36,B,40,60,60,60
OP3-36B,Obock,Pocillopora,3,36,B,40,60,60,60
OP4-36B,Obock,Pocillopora,4,36,B,60,60,60,60
OP5-36B,Obock,Pocillopora,5,36,B,0,0,0,0
OP6-36B,Obock,Pocillopora,6,36,B,80,60,60,60
OP7-36B,Obock,Pocillopora,7,36,B,20,60,40,40
OP1-39A,Obock,Pocillopora,1,39,A,0,0,0,0
OP2-39A,Obock,Pocillopora,2,39,A,0,0,0,0
OP3-39A,Obock,Pocillopora,3,39,A,0,0,0,0
OP4-39A,Obock,Pocillopora,4,39,A,0,0,0,0
OP5-39A,Obock,Pocillopora,5,39,A,0,0,0,0
OP6-39A,Obock,Pocillopora,6,39,A,0,0,0,0
OP7-39A,Obock,Pocillopora,7,39,A,0,0,0,0
OP1-39B,Obock,Pocillopora,1,39,B,0,0,0,0
OP2-39B,Obock,Pocillopora,2,39,B,0,0,0,0
OP3-39B,Obock,Pocillopora,3,39,B,0,0,0,0
OP4-39B,Obock,Pocillopora,4,39,B,0,0,0,0
OP5-39B,Obock,Pocillopora,5,39,B,0,0,0,0
OP6-39B,Obock,Pocillopora,6,39,B,0,0,0,0
OP7-39B,Obock,Pocillopora,7,39,B,0,0,0,0
YP1-30A,Yanbu,Pocillopora,1,30,A,80,60,60,60
YP2-30A,Yanbu,Pocillopora,2,30,A,60,60,60,60
YP3-30A,Yanbu,Pocillopora,3,30,A,100,60,80,80
YP4-30A,Yanbu,Pocillopora,4,30,A,60,60,60,60
YP6-30A,Yanbu,Pocillopora,6,30,A,60,60,60,60
YP7-30A,Yanbu,Pocillopora,7,30,A,80,60,80,80
YP1-30B,Yanbu,Pocillopora,1,30,B,60,60,60,60
YP2-30B,Yanbu,Pocillopora,2,30,B,60,60,60,60
YP4-30B,Yanbu,Pocillopora,4,30,B,60,60,60,60
YP5-30B,Yanbu,Pocillopora,5,30,B,40,60,60,60
YP6-30B,Yanbu,Pocillopora,6,30,B,40,60,60,60
YP7-30B,Yanbu,Pocillopora,7,30,B,40,60,60,60
YP1-33A,Yanbu,Pocillopora,1,33,A,40,60,40,40
YP2-33A,Yanbu,Pocillopora,2,33,A,60,60,60,60
YP3-33A,Yanbu,Pocillopora,3,33,A,60,60,60,60
YP4-33A,Yanbu,Pocillopora,4,33,A,40,60,60,60
YP6-33A,Yanbu,Pocillopora,6,33,A,80,80,80,80
YP7-33A,Yanbu,Pocillopora,7,33,A,80,80,80,80
YP1-33B,Yanbu,Pocillopora,1,33,B,60,60,60,60
YP2-33B,Yanbu,Pocillopora,2,33,B,40,60,60,60
YP3-33B,Yanbu,Pocillopora,3,33,B,60,60,60,60
YP4-33B,Yanbu,Pocillopora,4,33,B,40,60,60,60
YP5-33B,Yanbu,Pocillopora,5,33,B,20,60,60,60
YP6-33B,Yanbu,Pocillopora,6,33,B,80,80,80,80
YP7-33B,Yanbu,Pocillopora,7,33,B,80,80,80,80
YP1-36A,Yanbu,Pocillopora,1,36,A,0,20,20,20
YP2-36A,Yanbu,Pocillopora,2,36,A,0,20,20,20
YP3-36A,Yanbu,Pocillopora,3,36,A,0,0,0,0
YP4-36A,Yanbu,Pocillopora,4,36,A,0,0,0,0
YP5-36A,Yanbu,Pocillopora,5,36,A,0,20,20,20
YP6-36A,Yanbu,Pocillopora,6,36,A,40,60,40,40
YP7-36A,Yanbu,Pocillopora,7,36,A,20,40,40,40
YP1-36B,Yanbu,Pocillopora,1,36,B,0,0,0,0
YP3-36B,Yanbu,Pocillopora,3,36,B,0,0,0,0
YP4-36B,Yanbu,Pocillopora,4,36,B,0,0,0,0
YP5-36B,Yanbu,Pocillopora,5,36,B,0,0,0,0
YP1-39A,Yanbu,Pocillopora,1,39,A,0,0,0,0
YP2-39A,Yanbu,Pocillopora,2,39,A,0,0,0,0
YP3-39A,Yanbu,Pocillopora,3,39,A,0,0,0,0
YP6-39A,Yanbu,Pocillopora,6,39,A,0,0,0,0
YP7-39A,Yanbu,Pocillopora,7,39,A,0,0,0,0
YP1-39B,Yanbu,Pocillopora,1,39,B,0,0,0,0
YP2-39B,Yanbu,Pocillopora,2,39,B,0,0,0,0
YP3-39B,Yanbu,Pocillopora,3,39,B,0,0,0,0
YP4-39B,Yanbu,Pocillopora,4,39,B,0,0,0,0
YP5-39B,Yanbu,Pocillopora,5,39,B,0,0,0,0
YP6-39B,Yanbu,Pocillopora,6,39,B,0,0,0,0